FixtureID,Date,BeyA,BeyB,MatchType,SeasonID,Tier,Matchday
S3_T4_TriceraPress_TyrannoBeat,,TyrannoBeat,TriceraPress,season,S3,4,3
S3_T4_DranBuster_SharkEdge,,SharkEdge,DranBuster,season,S3,4,3
S3_T3_HellsReaper_WizardArc,,HellsReaper,WizardArc,season,S3,3,3
S3_T3_HellsBrave_KnightMail,,KnightMail,HellsBrave,season,S3,3,3
S3_T3_HellsChain_WyvernHover,,WyvernHover,HellsChain,season,S3,3,3
S3_T3_PerseusDark_RhinoReaper,,RhinoReaper,PerseusDark,season,S3,3,3
S3_T2_CerberusFlame_WeissTiger,,WeissTiger,CerberusFlame,season,S3,2,3
S3_T2_LeonCrest_ViperTail,,ViperTail,LeonCrest,season,S3,2,3
S3_T2_DranBrave_PhoenixWing,,PhoenixWing,DranBrave,season,S3,2,3
S3_T2_GolemRock_SilverWolf,,SilverWolf,GolemRock,season,S3,2,3
S3_T1_CobaltDragoon_SharkScale,,SharkScale,CobaltDragoon,season,S3,1,3
S3_T1_ImpactDrake_TuskMammoth,,TuskMammoth,ImpactDrake,season,S3,1,3
S3_T1_FoxBrush_ScorpioSpear,,ScorpioSpear,FoxBrush,season,S3,1,3
S3_T1_DranSword_ValkyrieVolt,,ValkyrieVolt,DranSword,season,S3,1,3
S3_T4_DranDagger_TriceraPress,,TriceraPress,DranDagger,season,S3,4,4
S3_T4_HellsHammer_SharkEdge,,HellsHammer,SharkEdge,season,S3,4,4
S3_T4_LeonClaw_PhoenixRudder,,LeonClaw,PhoenixRudder,season,S3,4,4
S3_T4_DranBuster_TyrannoBeat,,DranBuster,TyrannoBeat,season,S3,4,4
S3_T3_HellsChain_KnightMail,,HellsChain,KnightMail,season,S3,3,4
S3_T3_RhinoReaper_WizardArc,,WizardArc,RhinoReaper,season,S3,3,4
S3_T3_HellsBrave_HellsReaper,,HellsBrave,HellsReaper,season,S3,3,4
S3_T3_PerseusDark_WyvernHover,,PerseusDark,WyvernHover,season,S3,3,4
S3_T2_DranBrave_ViperTail,,DranBrave,ViperTail,season,S3,2,4
S3_T2_CerberusFlame_SilverWolf,,CerberusFlame,SilverWolf,season,S3,2,4
S3_T2_LeonCrest_WeissTiger,,LeonCrest,WeissTiger,season,S3,2,4
S3_T2_GolemRock_PhoenixWing,,GolemRock,PhoenixWing,season,S3,2,4
S3_T1_FoxBrush_TuskMammoth,,FoxBrush,TuskMammoth,season,S3,1,4
S3_T1_CobaltDragoon_ValkyrieVolt,,CobaltDragoon,ValkyrieVolt,season,S3,1,4
S3_T1_ImpactDrake_SharkScale,,ImpactDrake,SharkScale,season,S3,1,4
S3_T1_DranSword_ScorpioSpear,,DranSword,ScorpioSpear,season,S3,1,4
S3_T4_DranBuster_HellsHammer,,DranBuster,HellsHammer,season,S3,4,5
S3_T4_PhoenixRudder_TriceraPress,,PhoenixRudder,TriceraPress,season,S3,4,5
S3_T4_LeonClaw_SharkEdge,,SharkEdge,LeonClaw,season,S3,4,5
S3_T4_DranDagger_TyrannoBeat,,TyrannoBeat,DranDagger,season,S3,4,5
S3_T3_PerseusDark_WizardArc,,PerseusDark,WizardArc,season,S3,3,5
S3_T3_HellsChain_HellsReaper,,HellsReaper,HellsChain,season,S3,3,5
S3_T3_HellsBrave_RhinoReaper,,RhinoReaper,HellsBrave,season,S3,3,5
S3_T3_KnightMail_WyvernHover,,WyvernHover,KnightMail,season,S3,3,5
S3_T2_CerberusFlame_GolemRock,,GolemRock,CerberusFlame,season,S3,2,5
S3_T2_DranBrave_WeissTiger,,WeissTiger,DranBrave,season,S3,2,5
S3_T2_LeonCrest_SilverWolf,,SilverWolf,LeonCrest,season,S3,2,5
S3_T2_PhoenixWing_ViperTail,,PhoenixWing,ViperTail,season,S3,2,5
S3_T1_CobaltDragoon_DranSword,,DranSword,CobaltDragoon,season,S3,1,5
S3_T1_FoxBrush_SharkScale,,SharkScale,FoxBrush,season,S3,1,5
S3_T1_ImpactDrake_ValkyrieVolt,,ValkyrieVolt,ImpactDrake,season,S3,1,5
S3_T1_ScorpioSpear_TuskMammoth,,ScorpioSpear,TuskMammoth,season,S3,1,5
S3_T4_SharkEdge_TriceraPress,,TriceraPress,SharkEdge,season,S3,4,6
S3_T4_DranBuster_LeonClaw,,LeonClaw,DranBuster,season,S3,4,6
S3_T4_HellsHammer_TyrannoBeat,,HellsHammer,TyrannoBeat,season,S3,4,6
S3_T4_DranDagger_PhoenixRudder,,DranDagger,PhoenixRudder,season,S3,4,6
S3_T3_HellsChain_RhinoReaper,,HellsChain,RhinoReaper,season,S3,3,6
S3_T3_HellsBrave_PerseusDark,,HellsBrave,PerseusDark,season,S3,3,6
S3_T3_WizardArc_WyvernHover,,WizardArc,WyvernHover,season,S3,3,6
S3_T3_HellsReaper_KnightMail,,KnightMail,HellsReaper,season,S3,3,6
S3_T2_DranBrave_SilverWolf,,DranBrave,SilverWolf,season,S3,2,6
S3_T2_GolemRock_LeonCrest,,LeonCrest,GolemRock,season,S3,2,6
S3_T2_CerberusFlame_PhoenixWing,,CerberusFlame,PhoenixWing,season,S3,2,6
S3_T2_ViperTail_WeissTiger,,ViperTail,WeissTiger,season,S3,2,6
S3_T1_FoxBrush_ValkyrieVolt,,FoxBrush,ValkyrieVolt,season,S3,1,6
S3_T1_DranSword_ImpactDrake,,ImpactDrake,DranSword,season,S3,1,6
S3_T1_CobaltDragoon_ScorpioSpear,,CobaltDragoon,ScorpioSpear,season,S3,1,6
S3_T1_SharkScale_TuskMammoth,,TuskMammoth,SharkScale,season,S3,1,6
S3_T4_DranDagger_SharkEdge,,SharkEdge,DranDagger,season,S3,4,7
S3_T4_PhoenixRudder_TyrannoBeat,,TyrannoBeat,PhoenixRudder,season,S3,4,7
S3_T4_DranBuster_TriceraPress,,DranBuster,TriceraPress,season,S3,4,7
S3_T4_HellsHammer_LeonClaw,,HellsHammer,LeonClaw,season,S3,4,7
S3_T3_KnightMail_RhinoReaper,,RhinoReaper,KnightMail,season,S3,3,7
S3_T3_HellsReaper_WyvernHover,,WyvernHover,HellsReaper,season,S3,3,7
S3_T3_HellsChain_PerseusDark,,PerseusDark,HellsChain,season,S3,3,7
S3_T3_HellsBrave_WizardArc,,WizardArc,HellsBrave,season,S3,3,7
S3_T2_SilverWolf_ViperTail,,SilverWolf,ViperTail,season,S3,2,7
S3_T2_PhoenixWing_WeissTiger,,PhoenixWing,WeissTiger,season,S3,2,7
S3_T2_DranBrave_GolemRock,,GolemRock,DranBrave,season,S3,2,7
S3_T2_CerberusFlame_LeonCrest,,CerberusFlame,LeonCrest,season,S3,2,7
S3_T1_TuskMammoth_ValkyrieVolt,,ValkyrieVolt,TuskMammoth,season,S3,1,7
S3_T1_ScorpioSpear_SharkScale,,ScorpioSpear,SharkScale,season,S3,1,7
S3_T1_DranSword_FoxBrush,,DranSword,FoxBrush,season,S3,1,7
S3_T1_CobaltDragoon_ImpactDrake,,CobaltDragoon,ImpactDrake,season,S3,1,7
