Platz,Bey,ELO,PowerIndex,Matches,Wins,Losses,Winrate,PointsFor,PointsAgainst,AvgPointDiff,Volatility,AvgΔELO,MaxΔELO,MinΔELO,UpsetWins,UpsetLosses,ELOTrend,CredibilityScore,CredibilityLabel
18,KnightMail,1023,54.0,36,18,18,50.0%,105,100,0.14,12.97,11.97,24.52,-18.8,8,7,23.41,0.664,Medium
19,TyrannoRoar,1018,51.8,10,7,3,70.0%,33,24,0.9,18.75,16.53,21.12,-27.25,0,3,17.83,0.467,Medium
20,HellsReaper,1016,52.3,34,17,17,50.0%,106,96,0.29,13.08,11.87,23.71,-20.98,9,9,15.98,0.704,High
21,CerberusFlame,1014,53.0,41,20,21,48.8%,106,115,-0.22,12.27,11.03,23.08,-20.14,11,6,14.09,0.746,High
22,LeonClaw,1014,52.7,32,17,15,53.1%,97,90,0.22,12.0,10.97,20.35,-20.0,7,8,13.59,0.717,High
23,MeteorDragoon,1013,46.5,5,3,2,60.0%,21,14,1.4,22.11,19.41,21.82,-26.26,0,2,12.59,0.346,Low
24,GolemRock,1011,51.4,42,20,22,47.6%,112,112,0.0,14.76,13.23,30.93,-28.3,6,9,10.54,0.737,High
25,PhoenixFlare,1005,44.0,3,2,1,66.7%,11,7,1.33,29.7,23.36,21.7,-32.35,0,1,5.37,0.353,Low
26,SamuraiSteel,1004,45.4,3,2,1,66.7%,9,7,0.67,24.5,19.05,19.09,-26.66,0,1,3.84,0.306,Low
27,RhinoReaper,1001,48.9,34,16,18,47.1%,108,106,0.06,12.96,11.76,24.21,-20.0,8,12,1.01,0.682,Medium
28,DranDagger,997,49.3,39,19,20,48.7%,117,120,-0.08,13.42,12.22,24.05,-24.76,9,7,-2.63,0.757,High
29,PhoenixRudder,991,46.6,26,13,13,50.0%,67,72,-0.19,12.78,11.98,19.42,-18.74,5,6,-9.49,0.676,Medium
30,WolfHunt,988,43.1,16,8,8,50.0%,42,46,-0.25,16.87,15.48,21.68,-23.57,1,6,-12.12,0.58,Medium
31,GhostCircle,981,34.5,3,1,2,33.3%,7,8,-0.33,19.98,17.22,16.15,-21.76,0,1,-19.37,0.425,Low
32,ClockMirage,980,41.7,11,6,5,54.5%,28,31,-0.27,18.02,16.66,18.52,-27.21,2,3,-19.86,0.469,Medium
33,PerseusDark,979,44.7,35,16,19,45.7%,92,106,-0.4,13.14,12.13,24.12,-23.82,11,8,-21.36,0.654,Medium
34,WizardArc,978,42.5,24,11,13,45.8%,62,69,-0.29,14.4,13.48,19.6,-20.09,8,2,-21.6,0.6,Medium
35,CrimsonGaruda,978,43.1,29,13,16,44.8%,78,86,-0.28,14.02,12.89,25.12,-21.85,8,7,-22.19,0.699,Medium
36,UnicornSting,977,42.6,26,12,14,46.2%,68,74,-0.23,14.29,13.15,20.0,-27.61,4,10,-23.31,0.671,Medium
37,DranBuster,969,39.0,23,10,13,43.5%,64,68,-0.17,17.52,16.15,24.41,-24.12,9,4,-31.1,0.632,Medium
38,CobaltDrake,967,39.2,22,9,13,40.9%,64,73,-0.41,13.49,12.36,22.92,-24.9,5,4,-33.25,0.651,Medium
39,PhoenixWing,962,40.7,36,15,21,41.7%,87,118,-0.86,13.78,12.7,22.16,-22.06,12,5,-38.21,0.671,Medium
40,HellsHammer,953,36.3,23,10,13,43.5%,60,76,-0.7,16.98,15.45,30.3,-25.37,8,2,-47.43,0.606,Medium
41,SamuraiCalibur,952,27.1,2,0,2,0.0%,1,9,-4.0,1.78,23.86,-22.6,-25.12,0,2,-47.72,0.243,Low
42,BlackShell,949,32.9,16,6,10,37.5%,31,50,-1.19,17.5,16.63,21.54,-24.6,5,1,-51.04,0.548,Medium
43,SharkEdge,934,36.1,37,15,22,40.5%,87,119,-0.86,12.22,11.54,19.11,-24.12,8,6,-66.27,0.745,High
44,SolEclipse,931,31.7,27,9,18,33.3%,70,95,-0.93,13.71,12.9,24.72,-18.47,5,2,-68.71,0.646,Medium
45,WhaleWave,929,31.5,26,9,17,34.6%,58,87,-1.12,13.63,12.91,18.0,-24.12,5,3,-70.88,0.632,Medium
46,EmperorMight,920,22.5,10,2,8,20.0%,14,32,-1.8,17.41,17.7,29.59,-20.19,1,2,-79.74,0.517,Medium
47,WhaleFlame,912,24.3,11,3,8,27.3%,17,39,-2.0,13.52,14.8,15.6,-20.41,0,2,-87.91,0.558,Medium
48,WyvernHover,906,24.9,22,6,16,27.3%,46,77,-1.41,13.84,13.41,21.49,-20.09,4,1,-94.08,0.584,Medium
49,PegasusBlast,903,21.4,12,3,9,25.0%,24,43,-1.58,16.04,16.86,24.0,-26.17,1,2,-97.15,0.55,Medium
50,WizardRod,884,22.8,26,8,18,30.8%,53,91,-1.46,12.97,13.23,17.61,-17.39,3,4,-116.13,0.663,Medium
51,SamuraiSaber,867,13.1,13,2,11,15.4%,21,50,-2.23,15.09,16.61,25.05,-24.39,2,1,-133.25,0.523,Medium
52,WizardArrow,864,10.7,11,1,10,9.1%,19,43,-2.18,14.91,17.98,30.84,-23.49,1,2,-136.09,0.399,Medium
53,TyrannoBeat,854,13.2,20,4,16,20.0%,32,73,-2.05,15.04,15.49,28.89,-22.23,2,2,-145.72,0.545,Medium
